id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;hack;2019-11-27T10:58:36;quantifying;ISSUED;CREDIT_CARD;2019-11-27T18:55:02;96322;1
2;Industrial Designer Incredible Fresh Car;2019-11-27T16:43:28;Agent Gorgeous Rubber Chicken Associate;PAID;CASH_ON_DELIVERY;2019-11-27T07:45:42;73710;2
3;Product;2019-11-27T06:22:50;Unbranded Cotton Table Generic B2B;ISSUED;CREDIT_CARD;2019-11-27T20:44:28;97439;3
4;Architect;2019-11-27T12:38:01;Falkland Islands (Malvinas);ISSUED;PAYPAL;2019-11-27T06:35:40;41663;4
5;New Mexico District Unbranded;2019-11-27T08:20:59;Aruba Chair portals;ISSUED;PAYPAL;2019-11-28T03:51:54;46869;5
6;infrastructures;2019-11-27T22:49:39;Ergonomic Fresh Chicken;ISSUED;CREDIT_CARD;2019-11-27T18:34:35;20504;6
7;User-friendly;2019-11-27T22:47:45;white SMTP;CANCELLED;CASH_ON_DELIVERY;2019-11-27T22:00:10;85218;7
8;Vietnam California PNG;2019-11-27T19:42:21;Granite Grocery;CANCELLED;PAYPAL;2019-11-27T20:58:31;60808;8
9;withdrawal Jamaica;2019-11-28T03:12:19;array Luxembourg Spurs;CANCELLED;CREDIT_CARD;2019-11-28T03:47:59;45913;9
10;Orchestrator;2019-11-27T17:34:00;concept payment;ISSUED;CASH_ON_DELIVERY;2019-11-28T01:44:37;40030;10
