id;placed_date;status;code;customer_id
1;2019-11-27T15:19:51;PENDING;deposit Station;1
2;2019-11-27T16:17:40;CANCELLED;black;2
3;2019-11-28T03:43:28;COMPLETED;Generic;3
4;2019-11-27T12:59:50;COMPLETED;open-source hybrid;4
5;2019-11-28T02:33:12;CANCELLED;mobile intermediate;5
6;2019-11-28T01:07:51;CANCELLED;infrastructures incentivize quantify;6
7;2019-11-27T21:12:36;CANCELLED;compress Fantastic Global;7
8;2019-11-27T17:15:48;CANCELLED;streamline;8
9;2019-11-28T05:07:45;CANCELLED;Applications Missouri deposit;9
10;2019-11-27T18:37:36;COMPLETED;Danish Krone parse;10
